k,train_accuracy,test_accuracy,precision,recall,f1_score,fpr,tp,tn,fp,fn
30,0.9247241725175527,0.9195586760280843,0.7485029940119761,0.4409171075837742,0.5549389567147613,0.019013128112267994,250,4334,84,317
40,0.9266800401203611,0.9195586760280843,0.7344632768361582,0.4585537918871252,0.5646036916395223,0.02127659574468085,260,4324,94,307
50,0.9337011033099298,0.924974924774323,0.7573333333333333,0.5008818342151675,0.6029723991507431,0.020597555454956996,284,4327,91,283
60,0.9421765295887663,0.9311935807422267,0.8060109289617486,0.5202821869488536,0.632368703108253,0.01607062019013128,295,4347,71,272
70,0.9442326980942829,0.9301905717151454,0.792,0.5238095238095238,0.6305732484076433,0.01765504753282028,297,4340,78,270
80,0.9479438314944835,0.9323971915747242,0.7804878048780488,0.564373897707231,0.6550665301944729,0.020371208691715707,320,4328,90,247
